family,task,shot,head,n,f1_mean,f1_std,ap_mean,ap_std,auc_mean,auc_std
aef_annual_2025,building,5,conv3x3,15,0.19329934766063364,0.19482193673230033,0.1857348499691322,0.19430984558062575,0.9188213748074143,0.06823788949443861
aef_annual_2025,building,5,deep_wide_mlp,15,0.19325308988258513,0.19036575791270718,0.17407823851566484,0.1778356951982266,0.9410165876426804,0.04251061343483972
aef_annual_2025,building,5,deeplab_lite,15,0.1431584270831868,0.16122418347370002,0.11780451038327877,0.1369178383097213,0.7788886604962708,0.18983838222080512
aef_annual_2025,building,5,linear,15,0.1683842954567868,0.18802585013996648,0.14386740656724595,0.1651390341345797,0.9172526309216854,0.07486466734774938
aef_annual_2025,building,5,unet,15,0.1279154770417949,0.12930018608607383,0.10961502909691005,0.11277407743771814,0.8285478999015419,0.10348570826413098
aef_annual_2025,building,5,wide_mlp,15,0.1781963982420304,0.1758242620234171,0.15535589107298453,0.16074116561226096,0.9329364533449296,0.04858790320034011
aef_annual_2025,building,10,conv3x3,15,0.2425456910468278,0.2246601753387811,0.23315524161617518,0.226027162331135,0.9060364963376125,0.16060171589656216
aef_annual_2025,building,10,deep_wide_mlp,15,0.2378888306009562,0.2161930328831557,0.217627739703442,0.20982301229947084,0.9508484512070446,0.035431109612354364
aef_annual_2025,building,10,deeplab_lite,15,0.22419084927246294,0.20353217355193937,0.2072638944134493,0.2009710174931225,0.931839373081323,0.056339786045305325
aef_annual_2025,building,10,linear,15,0.18922412267622993,0.19464336941167326,0.16227948037687084,0.18314025495652614,0.9419101688050833,0.05685177319684955
aef_annual_2025,building,10,unet,15,0.22125868031662868,0.20682841131799845,0.20977667980660064,0.2104148863772683,0.9318997229892836,0.04671175498869229
aef_annual_2025,building,10,wide_mlp,15,0.22951044935943932,0.20677934993630712,0.20749778349740863,0.19981125391315815,0.9490740134907278,0.035753696364117835
aef_annual_2025,road,5,conv3x3,15,0.4522535396175361,0.09007947996171574,0.4832255642585566,0.1004180286913576,0.8507462532144567,0.05474841766847436
aef_annual_2025,road,5,deep_wide_mlp,15,0.4578199346602167,0.08282468552088298,0.5054766930838538,0.08964483046280138,0.8961951096021148,0.04679016344925372
aef_annual_2025,road,5,deeplab_lite,15,0.37763672033249984,0.09114324745741795,0.37214360542563085,0.09409844896984004,0.7828564859054279,0.06413809003382924
aef_annual_2025,road,5,linear,15,0.2783059855358163,0.08394536082214644,0.19354470188190553,0.06625402169541642,0.8036642006041608,0.07107768625224303
aef_annual_2025,road,5,unet,15,0.38922566613494797,0.08882749338850425,0.36173280766642785,0.10709645059453099,0.7590869809537306,0.07653113059493635
