family,task,polygon_count,prototype_mode,query_mode,n,f1_mean,f1_std,ap_mean,ap_std,auc_mean,auc_std
aef_annual_2025,building,1,max,adaptive,15,0.14122886715177158,0.16668745352424344,0.10043245962177248,0.13801159652031703,0.8552928590737287,0.2195631664751572
aef_annual_2025,building,1,max,disabled,15,0.14198572712785248,0.16700675593853423,0.10051236099422876,0.13808904667109692,0.8554504160643064,0.2196111969329402
aef_annual_2025,building,1,single,adaptive,15,0.14122886715177158,0.16668745352424344,0.10043245714548771,0.13801159639787675,0.8552928591505577,0.21956316645818647
aef_annual_2025,building,1,single,disabled,15,0.14198572712785248,0.16700675593853423,0.10051236101769656,0.13808904666307484,0.8554504157795642,0.2196111968561946
aef_annual_2025,building,3,max,adaptive,15,0.1785084833459897,0.19472956251644938,0.13159244941336073,0.1562354329491511,0.935058304787871,0.059247624365535725
aef_annual_2025,building,3,max,disabled,15,0.17664136122716795,0.1922090116824872,0.13053454317112417,0.15414941483520025,0.9346784717148323,0.059787143978839274
aef_annual_2025,building,3,single,adaptive,15,0.17612874887849045,0.1933538599417294,0.12767626130501217,0.15332684311224362,0.9375357165811623,0.06233386547906585
aef_annual_2025,building,3,single,disabled,15,0.17549880336742074,0.19216606176620585,0.12746945348413943,0.151236251714805,0.9376757043638019,0.06287759181427173
aef_annual_2025,building,5,max,adaptive,15,0.17462650666539845,0.19119097776351077,0.12927623845568692,0.15200651087569825,0.9322704001568819,0.07182109947734065
aef_annual_2025,building,5,max,disabled,15,0.1738669129202487,0.1896003231210257,0.12769865771640163,0.14952711503940005,0.9309486373033682,0.07412953236863791
aef_annual_2025,building,5,single,adaptive,15,0.171290593567118,0.19567991551549763,0.12855017346426456,0.1529658291958789,0.9322337101991531,0.08460583376335884
aef_annual_2025,building,5,single,disabled,15,0.17112234574039858,0.19542668465190158,0.1278484982344651,0.15092462462616038,0.9319810207818116,0.08517323836938796
aef_annual_2025,building,9,max,adaptive,15,0.1794866245762288,0.19734619586285398,0.13577011195772778,0.16132266807143114,0.9341577051567725,0.06770529399497005
aef_annual_2025,building,9,max,disabled,15,0.1792502601501351,0.19645524472643905,0.13368945922935602,0.15768761250852076,0.9326581080397217,0.06980999607760244
aef_annual_2025,building,9,single,adaptive,15,0.18196984399559746,0.19798063433144242,0.13981871968599383,0.1615603981626732,0.9392196160280654,0.06608304939172162
aef_annual_2025,building,9,single,disabled,15,0.18190532850204805,0.1972645490546859,0.13921550520571174,0.15907426536375466,0.9393583220553345,0.06661473979005014
aef_annual_2025,road,1,max,adaptive,15,0.2284536753806923,0.11266748317841936,0.19545993550948054,0.12419321183725271,0.7057128271322977,0.15969582178028532
aef_annual_2025,road,1,max,disabled,15,0.21849149108394647,0.12075745861693377,0.19652510396913375,0.12335351668443796,0.7061416318392504,0.15946076195225697
aef_annual_2025,road,1,single,adaptive,15,0.2284536753806923,0.11266748317841936,0.19545993636085687,0.12419321181815235,0.7057128272612522,0.15969582177423963
aef_annual_2025,road,1,single,disabled,15,0.21849149108394647,0.12075745861693377,0.19652510453489738,0.12335351647314004,0.706141632151954,0.15946076195581943
aef_annual_2025,road,3,max,adaptive,15,0.27197594177118156,0.10014957036651774,0.20046423638034486,0.08522519077545525,0.7906489262027019,0.10127427746937243
aef_annual_2025,road,3,max,disabled,15,0.2711699206896319,0.0980367476246664,0.20409206108001443,0.08439751177668235,0.7937645973661202,0.10007085009303059
aef_annual_2025,road,3,single,adaptive,15,0.2615737725328613,0.08072481525477358,0.20080040397112206,0.08247953683375679,0.7794272363792818,0.10888923540291436
aef_annual_2025,road,3,single,disabled,15,0.2608241023436443,0.08175976971952462,0.20301252696756147,0.08072915896104571,0.7818926613552993,0.1064072691384982
aef_annual_2025,road,5,max,adaptive,15,0.2764942308448628,0.08048648376707032,0.20788559834432915,0.061160341540489944,0.8235974200595922,0.0975187299612765
aef_annual_2025,road,5,max,disabled,15,0.273537120212157,0.08241180904447667,0.2100481089365484,0.06145978602109237,0.8236628684709798,0.09799411907254886
aef_annual_2025,road,5,single,adaptive,15,0.2978530596717107,0.05646288115362713,0.23837595493186547,0.06590276512243531,0.8320775986503971,0.08256248705470756
aef_annual_2025,road,5,single,disabled,15,0.2982946199688141,0.05491716946188113,0.23956267074018894,0.06462188489609119,0.8328058091145408,0.08170181055614961
aef_annual_2025,road,9,max,adaptive,15,0.3001516648091063,0.0647468451185407,0.22058901621805724,0.0697334316015472,0.8338234615058996,0.0875711607931834
aef_annual_2025,road,9,max,disabled,15,0.286694493342309,0.07295913870481134,0.22430979107680585,0.07072858684360492,0.8348963610216411,0.08636632134177366
aef_annual_2025,road,9,single,adaptive,15,0.309774949878886,0.08255366216120753,0.2674929035694304,0.08214001891328153,0.8516097158621938,0.07449272807434756
aef_annual_2025,road,9,single,disabled,15,0.3110149592652032,0.08186201539788857,0.2705603446355863,0.08099678889925538,0.8523982609485506,0.07357190819579584
aef_annual_2025,water,1,max,adaptive,15,0.41352925617150066,0.3587465339777663,0.42059649374879554,0.38350842846075883,0.6713236119606939,0.26860516915514593
aef_annual_2025,water,1,max,disabled,15,0.41328116283420346,0.35980630302898764,0.42177747598527376,0.3835288579388953,0.6712719336533737,0.27363967381565885
aef_annual_2025,water,1,single,adaptive,15,0.41352925617150066,0.3587465339777663,0.42059649737075916,0.3835084274611193,0.6713236123738383,0.26860516927695716
aef_annual_2025,water,1,single,disabled,15,0.41328116283420346,0.35980630302898764,0.42177748169331564,0.3835288552384036,0.6712719340234937,0.273639673010234
aef_annual_2025,water,3,max,adaptive,15,0.43226813603499503,0.32531428532298473,0.48178399037588254,0.37431237459624095,0.7304999896724882,0.21844010816917828
aef_annual_2025,water,3,max,disabled,15,0.4232090915049953,0.3324867860102569,0.4799037859473316,0.37333359326239285,0.7339623546250735,0.22016371754996586
aef_annual_2025,water,3,single,adaptive,15,0.4211660429587257,0.3313437575312559,0.4379861444536982,0.3764636659488216,0.745963059507082,0.21987316091309722
aef_annual_2025,water,3,single,disabled,15,0.42454883321698866,0.3302037862002384,0.43875808828383306,0.3739577872687423,0.7474099165976029,0.22449592316295539
aef_annual_2025,water,5,max,adaptive,15,0.46864148346014406,0.320403956337608,0.5217847334995945,0.367019304037035,0.761209017164144,0.22035594358571084
aef_annual_2025,water,5,max,disabled,15,0.4649297796182266,0.327184543480021,0.5236611395368469,0.3649565859348545,0.7634299679857541,0.22067870939077705
aef_annual_2025,water,5,single,adaptive,15,0.5374100914946669,0.3345657915363478,0.5355145623325127,0.3569871174968805,0.7776366488407352,0.2215718092430905
aef_annual_2025,water,5,single,disabled,15,0.5359889465497835,0.33606223269096536,0.534237367338669,0.35556751970414247,0.7779853759979262,0.2226948788264287
aef_annual_2025,water,9,max,adaptive,15,0.48587355664045745,0.3097362010792738,0.5381790655824196,0.3491612575789936,0.768399820345468,0.1984744346488231
aef_annual_2025,water,9,max,disabled,15,0.48121496199012825,0.3153033597789531,0.5405994745066723,0.34769320310539137,0.771280356777932,0.1990110785909201
aef_annual_2025,water,9,single,adaptive,15,0.49462922410765775,0.3085712653823875,0.48342980134394165,0.3373880936739338,0.729769730621881,0.25662622847360983
aef_annual_2025,water,9,single,disabled,15,0.490842286186912,0.3107954708915062,0.4818423244437921,0.3360291655749189,0.7307041534739656,0.2556428201617744
p10c_haidian_frozen_harbin,building,1,max,adaptive,15,0.09723441379389344,0.12274944137824621,0.06105599169200024,0.08878718486242651,0.5634686899663174,0.2763442042792436
p10c_haidian_frozen_harbin,building,1,max,disabled,15,0.0973617821795247,0.12356432469935495,0.06153951477749289,0.09030972176195369,0.5605775190305022,0.27627497728313716
p10c_haidian_frozen_harbin,building,1,single,adaptive,15,0.09723441379389344,0.12274944137824621,0.061055991646711424,0.08878718488014874,0.5634686898120552,0.27634420407017646
p10c_haidian_frozen_harbin,building,1,single,disabled,15,0.0973617821795247,0.12356432469935495,0.0615395105540749,0.09030972353119593,0.5605775188248193,0.27627497700670034
p10c_haidian_frozen_harbin,building,3,max,adaptive,15,0.1168101443410975,0.14490979555143438,0.08240112096889346,0.12149750215484219,0.7011578446927966,0.19505946159848045
p10c_haidian_frozen_harbin,building,3,max,disabled,15,0.11939978778661534,0.1468182424114908,0.0827648114451229,0.12155031606588532,0.7030272878965639,0.1980208596379047
p10c_haidian_frozen_harbin,building,3,single,adaptive,15,0.1288809980262496,0.16202569691142205,0.09194968246265645,0.13502359234330855,0.7373078775976076,0.17785041710395905
p10c_haidian_frozen_harbin,building,3,single,disabled,15,0.12945490773979693,0.16246311942029557,0.09177392213238775,0.1343378057869578,0.7332075842188507,0.17948127812684517
p10c_haidian_frozen_harbin,building,5,max,adaptive,15,0.118219548370354,0.13989148655713018,0.0766963982487181,0.10653764497190105,0.7485322244473136,0.20365735912269092
p10c_haidian_frozen_harbin,building,5,max,disabled,15,0.11999674044502238,0.14118402015731088,0.07757706564681258,0.10646352148629318,0.7525029572892411,0.19708202943320263
p10c_haidian_frozen_harbin,building,5,single,adaptive,15,0.12098051470247226,0.15238767084378746,0.08327451800575161,0.1179319896709335,0.7781461036521696,0.16205272038920168
p10c_haidian_frozen_harbin,building,5,single,disabled,15,0.12171755125075574,0.15355369669888225,0.08416618887414443,0.11920321905216964,0.7783122905163893,0.162521618229512
p10c_haidian_frozen_harbin,building,9,max,adaptive,15,0.12931589130165985,0.1476761423632401,0.08882110319542676,0.11641714667367226,0.7824060854822574,0.1807651732735885
p10c_haidian_frozen_harbin,building,9,max,disabled,15,0.12745586097902373,0.14573744294656318,0.08893127930797491,0.11693024378530428,0.7803138297424499,0.18113380929597886
p10c_haidian_frozen_harbin,building,9,single,adaptive,15,0.12884317361019096,0.15525191038564332,0.09546459856522455,0.1372813268800616,0.8245556099921232,0.12630315897532093
p10c_haidian_frozen_harbin,building,9,single,disabled,15,0.12961021297932812,0.1569951752853238,0.09634149914473739,0.13840833737447955,0.8268186628438196,0.12294139884985573
p10c_haidian_frozen_harbin,road,1,max,adaptive,15,0.131140076495302,0.06754454154917566,0.0782459071261366,0.03830210774727993,0.512188181458429,0.10547355794052306
p10c_haidian_frozen_harbin,road,1,max,disabled,15,0.1306688632859348,0.06742861470770785,0.07850133577800064,0.038432432177179496,0.5137491132005897,0.10406954152080797
p10c_haidian_frozen_harbin,road,1,single,adaptive,15,0.131140076495302,0.06754454154917566,0.07824590713889025,0.038302108234056956,0.5121881815553679,0.10547355785418708
p10c_haidian_frozen_harbin,road,1,single,disabled,15,0.1306688632859348,0.06742861470770785,0.07850133626915788,0.03843243242993789,0.5137491135488216,0.10406954159473956
p10c_haidian_frozen_harbin,road,3,max,adaptive,15,0.1485538441071292,0.06607486632098174,0.09602092287385881,0.03634012453852308,0.5993102165991843,0.10032307914546038
p10c_haidian_frozen_harbin,road,3,max,disabled,15,0.15035692332894227,0.06559086957073612,0.09541991329948946,0.03565266107001744,0.600831343478994,0.10175679280385827
p10c_haidian_frozen_harbin,road,3,single,adaptive,15,0.1636712022604702,0.05312344773848774,0.10030861019884278,0.03333254186466143,0.6056828085910752,0.11760391252745699
p10c_haidian_frozen_harbin,road,3,single,disabled,15,0.16247158753940283,0.05174102949476297,0.10010500362934972,0.03262102048437073,0.605303186707491,0.11822280631332016
p10c_haidian_frozen_harbin,road,5,max,adaptive,15,0.15201065231361938,0.06040819896799288,0.09516192096337746,0.03920612987504197,0.5946230346599306,0.10637724949872938
p10c_haidian_frozen_harbin,road,5,max,disabled,15,0.1526131464230741,0.060422481346768926,0.09500394582230128,0.03991956937521057,0.5940824899478663,0.1071999238541391
p10c_haidian_frozen_harbin,road,5,single,adaptive,15,0.16200251738363888,0.057704629306260566,0.10715879829908602,0.03756462969389112,0.6284259631061601,0.11889836592243132
p10c_haidian_frozen_harbin,road,5,single,disabled,15,0.16229340256967228,0.05816114420987317,0.10692228716580046,0.036933316578300346,0.6289070911980452,0.11900440298035626
p10c_haidian_frozen_harbin,road,9,max,adaptive,15,0.14938022498199716,0.06135965547288198,0.09819221560954149,0.03470918123748888,0.6110409904674405,0.10152578129385152
p10c_haidian_frozen_harbin,road,9,max,disabled,15,0.1506371721348269,0.06304583964295496,0.09841416978498801,0.03539486076358823,0.6114047709541677,0.10292935010212227
p10c_haidian_frozen_harbin,road,9,single,adaptive,15,0.17293896826315175,0.047558741815641827,0.11725892290006955,0.03409609416744725,0.6545854897231941,0.10107229917811628
p10c_haidian_frozen_harbin,road,9,single,disabled,15,0.17333702079355204,0.04849601893193562,0.11716090377915236,0.033431400270016176,0.6561949967405215,0.10104426077481289
p10c_haidian_frozen_harbin,water,1,max,adaptive,15,0.29224630845216526,0.32962944078586115,0.2940526208823659,0.3401050564345262,0.5732500667208983,0.19288547218763694
p10c_haidian_frozen_harbin,water,1,max,disabled,15,0.2906564028389452,0.3282783347453621,0.2935616096568237,0.33907213687267956,0.5711612494478062,0.19355574039964257
p10c_haidian_frozen_harbin,water,1,single,adaptive,15,0.29224630845216526,0.32962944078586115,0.29405262069994886,0.3401050565396754,0.5732500663090409,0.19288547264622544
p10c_haidian_frozen_harbin,water,1,single,disabled,15,0.2906564028389452,0.3282783347453621,0.2935616096393559,0.33907213700817507,0.5711612489735898,0.19355574103186152
p10c_haidian_frozen_harbin,water,3,max,adaptive,15,0.2775846778837063,0.32611214088897,0.32420879867268615,0.3764109573391102,0.6019916315432536,0.18574302647989843
p10c_haidian_frozen_harbin,water,3,max,disabled,15,0.2684722724553546,0.31382616398806645,0.3224365739070789,0.3742261349367515,0.6008480582918437,0.18470231598121584
p10c_haidian_frozen_harbin,water,3,single,adaptive,15,0.2739608522037538,0.3203503914998213,0.30349795124579454,0.3621604108487809,0.5857036474902538,0.18298402249782153
p10c_haidian_frozen_harbin,water,3,single,disabled,15,0.2729123613144064,0.3200977727483868,0.303014756795185,0.36157856969244045,0.5845339070028964,0.18492866910526556
p10c_haidian_frozen_harbin,water,5,max,adaptive,15,0.28319891035214406,0.3212006664488065,0.31727931462574366,0.35303931840531444,0.6313598152343082,0.17225294206664715
p10c_haidian_frozen_harbin,water,5,max,disabled,15,0.2790517429649084,0.31869381774415845,0.31697515695186274,0.35109963725680754,0.6298827014085046,0.17026524943955965
p10c_haidian_frozen_harbin,water,5,single,adaptive,15,0.26848707342656436,0.3047496715171559,0.3096280217420177,0.3637869051946152,0.6233740695127092,0.16074700389712546
p10c_haidian_frozen_harbin,water,5,single,disabled,15,0.2642228850126075,0.29992047969876384,0.30902869916050935,0.36318183616193894,0.6221808828119458,0.16178627514401667
p10c_haidian_frozen_harbin,water,9,max,adaptive,15,0.27472791700651195,0.317162081538107,0.31465962748951964,0.3393747809000078,0.6303224345456434,0.1645136584702657
p10c_haidian_frozen_harbin,water,9,max,disabled,15,0.27065679883850763,0.3122135075477086,0.3175087688437029,0.3361046910170552,0.6349006033580841,0.16074906581995305
p10c_haidian_frozen_harbin,water,9,single,adaptive,15,0.2816192426656125,0.3307878834718348,0.3036045425748216,0.3651257741900493,0.630063242072319,0.1669645261134687
p10c_haidian_frozen_harbin,water,9,single,disabled,15,0.28188552710538667,0.32929098640553855,0.3049372235344888,0.36516014566419003,0.6319409711840426,0.16865831484062405
p10c_harbin_scratch,building,1,max,adaptive,15,0.09095861109558721,0.11773096323564955,0.06642748934076931,0.07910893611511169,0.7407206766488119,0.2636309359781264
p10c_harbin_scratch,building,1,max,disabled,15,0.09167572383098858,0.11872108293152914,0.06667643518863081,0.07960209748458315,0.743160939082068,0.2641478831090202
p10c_harbin_scratch,building,1,single,adaptive,15,0.09095861109558721,0.11773096323564955,0.06642748664448281,0.07910893305554444,0.7407206767353463,0.2636309361433871
p10c_harbin_scratch,building,1,single,disabled,15,0.09167572383098858,0.11872108293152914,0.06667643587348233,0.07960209905437039,0.7431609390548746,0.26414788345389967
p10c_harbin_scratch,building,3,max,adaptive,15,0.10705718275292489,0.12512765340825366,0.07872796149850782,0.08836348224421582,0.8650918854130031,0.09897489073536438
p10c_harbin_scratch,building,3,max,disabled,15,0.1084863402390578,0.12647757883805813,0.07934513722918062,0.08839454340850426,0.8664460781412732,0.09885381587403082
p10c_harbin_scratch,building,3,single,adaptive,15,0.1103687282258557,0.1354855263296059,0.07944885512002993,0.10016059600456645,0.8652954947229368,0.0937766919155262
p10c_harbin_scratch,building,3,single,disabled,15,0.10971398291113528,0.13559047233537572,0.07990627092644527,0.10126652183271873,0.8664263110992978,0.09365845688393529
p10c_harbin_scratch,building,5,max,adaptive,15,0.10333512459674353,0.1314230941625698,0.07670951944920419,0.08491040159730294,0.8646196903536525,0.09756555908345906
p10c_harbin_scratch,building,5,max,disabled,15,0.10315931193784089,0.13048470863770747,0.07712759896335172,0.08508300069913934,0.8664035281055064,0.09714169960157332
p10c_harbin_scratch,building,5,single,adaptive,15,0.11045089611672175,0.13913714089412474,0.08194329685918653,0.10358658878131345,0.8724885751072715,0.09664647550942684
p10c_harbin_scratch,building,5,single,disabled,15,0.11183814008780746,0.1403464674940864,0.08246876177695046,0.10475760457892257,0.8734149352604944,0.09637795186457007
p10c_harbin_scratch,building,9,max,adaptive,15,0.10435468931909604,0.12640012841640055,0.07736552292277252,0.08760861206775312,0.8656137806249343,0.10237245418798205
p10c_harbin_scratch,building,9,max,disabled,15,0.10457961574411033,0.12562696495279746,0.07787779370137256,0.08840403534396032,0.8681095062434814,0.1031475521796009
p10c_harbin_scratch,building,9,single,adaptive,15,0.11257436078110107,0.14094660253084487,0.08484254897302519,0.10967906504495893,0.8768214254461427,0.09708813333996506
p10c_harbin_scratch,building,9,single,disabled,15,0.11380334926379936,0.14091230479778385,0.08544256827979985,0.11104276547243981,0.8781796278793704,0.09698320092858989
