task,shot,head,xuannv_f1,aef_f1,delta_f1,xuannv_auc,aef_auc,delta_auc,xuannv_ap,aef_ap,delta_ap
education,5,mlp_deep,0.1955187117226393,0.2006596834664148,-0.005140971743775508,0.7772616844250831,0.7903318960991514,-0.0130702116740683,0.1292521866981007,0.1272646182855449,0.001987568412555818
education,10,mlp_deep,0.2399938083233824,0.2509793155877477,-0.010985507264365313,0.805067353327108,0.8197525514027986,-0.014685198075690575,0.1661573887898483,0.2043890967494949,-0.038231707959646616
education,50,mlp_deep,0.2809029417356056,0.2696374665133691,0.011265475222236476,0.8342165232581057,0.83536302626037,-0.0011465030022642653,0.2495621533560604,0.2481751270108113,0.0013870263452491205
sports,5,mlp_deep,0.1064010173802458,0.1329035927576073,-0.026502575377361504,0.7930056319913672,0.8108185095954716,-0.017812877604104438,0.0365690024983561,0.0493416821426277,-0.012772679644271596
sports,10,mlp_deep,0.1556784347086346,0.1371635610766045,0.01851487363203011,0.8174632515440152,0.8136881125162342,0.003775139027781038,0.0567206134478105,0.059702120052434,-0.002981506604623499
sports,50,mlp_deep,0.1668469768000961,0.1955799839688537,-0.028733007168757596,0.8353004792690792,0.8585517602636219,-0.023251280994542656,0.0611327877449636,0.0955281544814226,-0.034395366736459
pitch,5,mlp_deep,0.1671641791044776,0.1004178072323872,0.06674637187209038,0.8224423525066837,0.7800936581713855,0.0423486943352982,0.0941897215217146,0.0436477962467223,0.05054192527499231
pitch,10,mlp_deep,0.2742403852964091,0.2390612569610183,0.0351791283353908,0.8810347358716688,0.8315641675930335,0.049470568278635274,0.1901641461916673,0.1457816725842286,0.04438247360743869
pitch,50,mlp_deep,0.3759021499658132,0.362941074222145,0.012961075743668227,0.8957430750857995,0.9045726659175782,-0.0088295908317787,0.3064087183449166,0.2877558805580041,0.018652837786912513
park,5,mlp_deep,0.3461783183736,0.2657184296697039,0.08045988870389614,0.7887299311490116,0.750739292442558,0.03799063870645358,0.3276156004463751,0.2197868290218328,0.10782877142454231
park,10,mlp_deep,0.4108140524779331,0.3438556904443603,0.0669583620335728,0.8291463304766726,0.8196541958925246,0.009492134584147993,0.4182895460732403,0.3177405263141994,0.1005490197590409
park,50,mlp_deep,0.4498663507684831,0.4725335176421635,-0.022667166873680422,0.8639537495498315,0.8809533789517201,-0.016999629401888594,0.4343500067384422,0.5213344143058154,-0.08698440756737319
grass,5,mlp,0.0452136408494462,0.0077904856621912,0.037423155187255,0.6783179282898808,0.6235736163402679,0.054744311949612934,0.0235643991299099,0.0101922548041001,0.013372144325809798
grass,10,mlp_deep,0.0719412412077132,0.0143561359508778,0.0575851052568354,0.8141798779251099,0.6491703592100283,0.16500951871508163,0.0530799674785424,0.0119682238368988,0.0411117436416436
grass,50,mlp,0.070256849500721,0.0094276094276094,0.06082924007311161,0.7987159938064071,0.6357020931844162,0.16301390062199095,0.1596351581060936,0.0118349732800964,0.14780018482599722
